Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Fevereiro,0,Terça-feira,Sim,28.18426785949478,41.70193860807349,1861.8763334422808,3,Ligado,Desligado,0.4876699776505411,92.37619236149315
Fevereiro,1,Terça-feira,Não,26.98344484146845,45.603420189035305,1394.2571746784497,5,Desligado,Ligado,12.696882277230484,78.40883003590025
Fevereiro,2,Terça-feira,Não,21.53636417400153,54.37553320435407,1740.0478370226792,4,Desligado,Desligado,24.01940250917816,67.42856121374454
Fevereiro,3,Terça-feira,Não,28.08994591292953,42.00546783907772,1808.636054642771,6,Desligado,Desligado,0.993962544972824,72.95782970185579
Fevereiro,4,Terça-feira,Não,27.89823981432385,41.32992611786696,1354.5722357559737,9,Ligado,Desligado,14.305942079928858,84.57865296861532
Fevereiro,5,Terça-feira,Sim,28.295123420876777,42.78462936511858,1141.1617254944274,1,Desligado,Desligado,9.48789903762052,61.49139444812299
Fevereiro,6,Terça-feira,Sim,27.56570565910256,41.41368170676517,1300.931749690279,8,Ligado,Desligado,28.173942696744533,88.92697402276784
Fevereiro,7,Terça-feira,Sim,20.544784946049848,44.47699544364728,1299.809320259612,9,Ligado,Desligado,1.057615135788823,73.05025239553935
Fevereiro,8,Terça-feira,Sim,26.00147198097815,38.59812919662812,1825.595685889817,7,Ligado,Ligado,9.576102868627194,81.88643449439485
Fevereiro,9,Terça-feira,Não,21.2120286729941,53.08541654150015,1959.698367250076,1,Desligado,Desligado,15.45778204209416,58.24209602013117
Fevereiro,10,Terça-feira,Sim,24.397564439301657,58.18814022099643,1562.444979527463,4,Ligado,Ligado,20.73172749036189,75.1212922278161
Fevereiro,11,Terça-feira,Não,29.297663074028627,47.3511033248129,1035.003809718349,7,Desligado,Desligado,1.0226360916985244,85.90455015626561
Fevereiro,12,Terça-feira,Não,25.601552066483784,56.72951451268911,1667.7288826519282,3,Desligado,Ligado,16.455400575163488,76.74886744332281
Fevereiro,13,Terça-feira,Sim,24.67189416847147,38.46964242478776,1319.526097452381,1,Desligado,Ligado,1.120455214494139,64.20732944502826
Fevereiro,14,Terça-feira,Não,20.22512832253564,58.49865436329298,1590.2864786400585,5,Desligado,Desligado,22.93203165619756,56.8498285541253
Fevereiro,15,Terça-feira,Não,29.65387961027392,33.01159594665208,1369.8112733077107,0,Ligado,Desligado,28.74112042866929,87.79268634679283
Fevereiro,16,Terça-feira,Sim,25.650962933275828,56.066408451002346,1737.559704860498,5,Desligado,Desligado,0.3265336013958098,71.45984361527782
Fevereiro,17,Terça-feira,Não,25.64901832175352,57.80122107396425,1126.8202268830926,6,Desligado,Desligado,15.2914998908365,73.9768404279642
Fevereiro,18,Terça-feira,Sim,24.718255043439083,59.49961628186696,1269.549770571582,8,Ligado,Desligado,26.241112125038164,76.26762690060934
Fevereiro,19,Terça-feira,Sim,28.893682356464048,44.82811340284312,1834.515560164445,7,Ligado,Desligado,19.047321137313656,90.01825906112286
Fevereiro,20,Terça-feira,Não,25.215366866623462,58.63396634552838,1604.7934846194075,5,Desligado,Ligado,14.73493704136824,79.76646360598038
Fevereiro,21,Terça-feira,Não,24.58577372088122,36.11300246352433,1210.5364584854522,5,Ligado,Desligado,27.444017286553493,87.17029521230282
Fevereiro,22,Terça-feira,Sim,24.375952879094264,34.52068966283053,1401.9603866237562,9,Desligado,Ligado,0.7293895303422715,80.87061710074885
Fevereiro,23,Terça-feira,Não,26.252275954440307,46.65924797895971,1616.263003181914,8,Ligado,Desligado,8.268862333847524,88.08448919703298
