Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Janeiro,0,Sábado,Não,25.1394334377269,43.43158120480281,1565.6939992511177,5,Ligado,Desligado,2.774698791658742,75.36437339539214
Janeiro,1,Sábado,Não,27.731650520792968,54.225918580233085,1411.064918331917,1,Ligado,Ligado,21.831384152500608,83.40185495035139
Janeiro,2,Sábado,Não,28.704276857248125,58.907657743033184,1755.71500922237,2,Desligado,Desligado,6.76467168191291,78.27088774061066
Janeiro,3,Sábado,Não,20.080469485298178,50.3716371457499,1452.316318334375,1,Desligado,Ligado,8.623446893471096,56.51985048548002
Janeiro,4,Sábado,Não,23.09735925505204,51.40142134361278,1094.1303586981196,9,Ligado,Desligado,3.0719692157166323,70.81173246793318
Janeiro,5,Sábado,Sim,29.576037393658908,36.82426323380886,1871.7091797360983,6,Desligado,Desligado,17.62668982389795,84.32188519433718
Janeiro,6,Sábado,Sim,25.13116712267887,35.70962155267958,1607.0012284749637,6,Ligado,Desligado,24.26470232698351,76.16579090213895
Janeiro,7,Sábado,Sim,23.182844248720983,31.67991978011051,1633.9553295431135,8,Desligado,Desligado,27.51709925003732,74.1319061773031
Janeiro,8,Sábado,Não,25.39199937425648,46.399364049557406,1240.309223721734,6,Ligado,Desligado,2.3075954692088576,78.20623587095885
Janeiro,9,Sábado,Não,22.2125494242776,32.41846388370173,1705.4203356236917,1,Ligado,Desligado,29.140070981014404,77.99221370196022
Janeiro,10,Sábado,Sim,28.0648135792427,36.45147178564109,1341.467128540315,2,Desligado,Desligado,0.3522383966403897,82.27443448386548
Janeiro,11,Sábado,Sim,23.422546256146845,30.527342157466457,1604.4183548074382,6,Ligado,Ligado,19.529548154656723,73.27866950427382
Janeiro,12,Sábado,Sim,25.388888490671448,47.60101803425757,1244.6189139899486,1,Ligado,Desligado,21.79744359722318,84.14477565753458
Janeiro,13,Sábado,Sim,20.058737855510586,41.861641594454376,1806.052631578324,2,Desligado,Desligado,6.384949152471242,60.0225185622203
Janeiro,14,Sábado,Sim,26.73152478180525,37.29787044961106,1419.7490137965287,6,Desligado,Desligado,12.074223142216765,81.18318756246354
Janeiro,15,Sábado,Não,22.10024262178738,56.09917871988325,1144.8062949047298,8,Desligado,Ligado,10.900770033732996,74.081256288494
Janeiro,16,Sábado,Não,29.32557592878712,56.95417356701815,1620.861781135627,0,Ligado,Ligado,15.453999472973807,89.4982076601557
Janeiro,17,Sábado,Sim,23.74244749481492,42.24584548342733,1413.595106864955,1,Ligado,Desligado,3.940678287777141,72.87244263642421
Janeiro,18,Sábado,Não,27.524189220859466,47.17242967942455,1832.1997785770343,9,Ligado,Desligado,19.68895830922032,83.8998965998896
Janeiro,19,Sábado,Sim,27.63139001845522,36.14029374467184,1251.553720835332,4,Ligado,Ligado,8.848082816473534,82.07757940317406
Janeiro,20,Sábado,Sim,28.7049945527175,59.931894786121376,1211.2618021121182,9,Ligado,Ligado,11.703977742489942,94.236287728335
Janeiro,21,Sábado,Sim,21.10111178256601,30.41800645418693,1677.105260698892,3,Desligado,Desligado,14.51720370832993,59.672380432970826
Janeiro,22,Sábado,Não,23.00091980393784,43.63838293291814,1228.3223766902736,1,Desligado,Desligado,4.302844586055179,70.23522761734993
Janeiro,23,Sábado,Não,24.74905765950469,57.216848654263046,1253.708860396828,6,Ligado,Ligado,0.6603375462558703,78.39420777459377
Janeiro,0,Domingo,Não,26.72936719166585,46.19408776943607,1533.8875228293596,8,Ligado,Desligado,18.5810340057255,87.84164465666763
Janeiro,1,Domingo,Sim,22.575924329206178,57.7495719227239,1040.2062146036978,8,Desligado,Ligado,8.906945509097325,72.92984426206768
Janeiro,2,Domingo,Não,27.01151319724488,52.637571884657305,1701.2553405115032,9,Ligado,Ligado,24.051355077458528,86.66909405376278
Janeiro,3,Domingo,Não,26.570000593742623,43.330311963375614,1126.0627981873615,7,Desligado,Ligado,2.9434034323461225,80.41142775984329
Janeiro,4,Domingo,Sim,21.820077577118944,56.855188125958406,1289.616032810379,3,Desligado,Ligado,25.513774644213942,64.21209800102363
Janeiro,5,Domingo,Não,23.220629928291007,46.07387943210247,1649.5103531928776,2,Desligado,Ligado,18.270528189168942,74.16033755004982
Janeiro,6,Domingo,Sim,28.875374569208283,31.803130453234026,1887.2017226982111,5,Ligado,Ligado,24.46883621156326,81.04958057295511
Janeiro,7,Domingo,Não,20.833491610497568,51.14700701801437,1096.7031280679794,1,Ligado,Desligado,21.865100350797228,70.30817192579988
Janeiro,8,Domingo,Não,27.46564120140408,34.9409910367269,1491.2879488851015,9,Ligado,Desligado,4.6457386056945404,82.28439185280472
Janeiro,9,Domingo,Não,20.623500489834765,50.14503354220139,1036.4623172912152,6,Desligado,Ligado,0.3722012648189066,59.847392688307885
Janeiro,10,Domingo,Sim,27.31481126572729,42.93605505297437,1876.510298961869,4,Ligado,Desligado,1.1813311411593264,82.50403686398842
Janeiro,11,Domingo,Sim,27.42511354993544,32.394788065588216,1155.2301001435485,9,Ligado,Desligado,8.166146956672918,82.78244589126273
Janeiro,12,Domingo,Sim,24.07915813451661,54.09504887445641,1850.3220231803864,7,Desligado,Desligado,21.06081425541792,74.67411328167944
Janeiro,13,Domingo,Não,29.91382998898481,53.34075278909026,1924.1861207571112,0,Ligado,Desligado,25.84805422710293,86.88913818269737
Janeiro,14,Domingo,Sim,24.52137298758392,42.27647348582312,1654.9299772328145,7,Ligado,Desligado,1.6471723322743026,78.54242641942929
Janeiro,15,Domingo,Sim,21.89878543127921,48.63351462602176,1958.9635358554865,4,Ligado,Ligado,20.21773265658062,77.22845715853467
Janeiro,16,Domingo,Sim,23.516264720993824,52.37155796010059,1517.168540999046,7,Ligado,Desligado,8.270639173483916,73.73515145603137
Janeiro,17,Domingo,Sim,27.1481166642526,43.12086624044412,1296.5818068796584,8,Ligado,Desligado,16.99702392488144,91.84340824868656
