Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Julho,3,Domingo,Sim,25.975613789605017,43.987922770963,1878.323589953304,5,Desligado,Ligado,0.006642,91.23313301279455
Julho,20,Sábado,Não,25.854249762709504,47.79040147044336,1642.3283812850525,6,Ligado,Desligado,15.15886395825537,74.9303833602043
Julho,11,Quinta-feira,Sim,24.41439869923319,58.20425991543643,1227.123841436351,0,Ligado,Desligado,8.778185313418977,92.41166926971816
Julho,1,Terça-feira,Sim,24.33679941903274,47.48330245232917,1731.997617080298,8,Desligado,Ligado,15.88898738012024,88.81571584566404
Julho,3,Segunda-feira,Sim,29.998671,30.015975,1999.982252,2,Ligado,Desligado,25.183696081503903,94.22717502169776
Julho,17,Sexta-feira,Não,29.82089163233636,33.9463597913876,1434.2419650043128,7,Ligado,Ligado,21.27850782165692,92.04431325530577
Julho,7,Quinta-feira,Sim,23.69912177263853,47.35320050757773,1376.2515474929298,0,Desligado,Ligado,0.006642,74.99665520483575
Julho,14,Segunda-feira,Não,21.690306529058063,50.78288847736775,1457.2520309993956,0,Ligado,Ligado,10.647688745628257,77.66351552048482
Julho,10,Quarta-feira,Sim,21.479748263030057,52.35628904581053,1143.3382204120735,8,Ligado,Desligado,8.432913087518578,78.18481244618658
Julho,22,Terça-feira,Sim,23.247403175749344,30.015975,1223.2424398169703,2,Desligado,Desligado,20.586367927057537,76.67235779475257
Julho,14,Domingo,Não,20.66020975942896,41.389813527072754,1278.0293359092375,2,Ligado,Desligado,15.853677733159408,72.37692220120167
Julho,20,Quinta-feira,Sim,28.184940970244405,30.015975,1417.6777605728016,3,Desligado,Ligado,15.505304508132904,69.27535130337183
Julho,12,Quarta-feira,Não,28.76588030150861,59.969085,1849.260550002752,6,Ligado,Ligado,0.2907773814272119,75.42221396257318
Julho,16,Segunda-feira,Sim,21.86649574403823,46.67944933797847,1695.6033567758914,1,Ligado,Desligado,10.673374944526966,78.42255990031234
Julho,19,Quarta-feira,Sim,21.13465821953571,35.09435732312428,1282.7726696499317,9,Desligado,Ligado,0.006642,77.72131462749087
Julho,9,Segunda-feira,Não,24.04249974483602,32.27030098999534,1856.0631166468904,8,Desligado,Ligado,6.1704755939936025,83.85516161059412
Julho,7,Terça-feira,Sim,21.906260062714264,53.55991833649101,1319.3731810568788,1,Desligado,Desligado,13.30348217809244,86.97880463122759
Julho,6,Terça-feira,Sim,25.84658941599007,44.480058947862126,1619.5638049424756,6,Ligado,Ligado,24.24746780314477,62.16094986821484
Julho,11,Sábado,Sim,20.629208432654757,32.126012459002354,1836.1190135160575,6,Ligado,Ligado,0.006642,79.09844536962798
Julho,0,Quarta-feira,Não,24.14682762758026,59.22194666244514,1684.1012599677924,4,Desligado,Ligado,28.273673949260814,65.42388004723759
Julho,16,Segunda-feira,Não,26.827336042661944,59.969085,1547.7644616038046,3,Ligado,Ligado,1.2696509426978095,85.46223439787951
Julho,20,Terça-feira,Não,28.679761895276087,40.2156780954912,1354.4747427205084,8,Desligado,Desligado,0.006642,84.028877853501
Julho,7,Terça-feira,Não,24.184356558632185,52.3686484642238,1182.5023145219686,2,Desligado,Desligado,17.091189231755713,85.78831394371994
Julho,17,Segunda-feira,Não,28.968722185194647,39.82392818881345,1467.7822507543983,9,Desligado,Desligado,6.560347632016367,80.39129503611375
Julho,20,Sábado,Sim,29.14541721035444,42.08218531948109,1151.5923456478629,9,Ligado,Ligado,27.299413177847715,83.32650130911304
Julho,4,Quarta-feira,Não,22.363189245913176,43.39295914792082,1103.9161787162689,7,Desligado,Desligado,29.965327,78.25496392791021
Julho,0,Sexta-feira,Sim,23.6662018735559,42.57851796358642,1463.2494592666012,3,Desligado,Ligado,6.846883536654292,65.3868878813796
Julho,14,Sábado,Não,25.502138069357237,59.948142328145344,1867.586306247949,7,Ligado,Ligado,29.965327,83.37926377214671
Julho,3,Segunda-feira,Não,27.716901048098727,30.015975,1250.6166691758551,5,Desligado,Desligado,0.006642,99.20112
Julho,17,Quarta-feira,Sim,25.579366949825545,55.40201163223047,1360.2566415914523,6,Ligado,Desligado,29.712342920085284,75.98228301790337
Julho,6,Quarta-feira,Não,29.998671,56.55665333361181,1384.0307786279905,4,Ligado,Ligado,27.64126869972442,86.80312733271506
Julho,6,Terça-feira,Não,20.83992905193552,30.015975,1303.5067528858658,4,Ligado,Desligado,21.16411470856443,69.19856934323386
Julho,1,Sexta-feira,Sim,29.998671,35.386793493786804,1999.982252,1,Desligado,Desligado,23.765149799363343,80.22798502993513
Julho,12,Quinta-feira,Não,20.007565,46.171105166102045,1413.9306434607774,6,Ligado,Ligado,20.069943870503923,65.450694898944
Julho,9,Sábado,Não,22.154146966436684,44.10452508917992,1113.3573993133784,5,Desligado,Desligado,4.635065340727291,62.93331892444902
Julho,18,Quinta-feira,Não,21.940675705998046,45.45102048310496,1934.2694354734829,7,Desligado,Ligado,8.128505740843446,64.10247399012124
Julho,19,Segunda-feira,Não,25.2965791459178,59.969085,1817.6688635545888,4,Ligado,Ligado,16.41751227521538,84.33935699528824
Julho,19,Segunda-feira,Não,29.998671,48.48246570309867,1829.6351188402389,7,Ligado,Ligado,15.24585203671708,96.02001332980784
Julho,5,Sábado,Sim,21.34512547171736,41.33615438759653,1097.0979818028109,4,Ligado,Desligado,21.559733705622996,67.43534135996018
Julho,13,Terça-feira,Não,28.646043129153544,41.269406018355625,1523.3595101141511,5,Ligado,Desligado,24.71192899534968,96.05087436707385
Julho,23,Domingo,Não,20.007565,30.015975,1710.0108063978362,1,Ligado,Desligado,27.76153528801249,67.17014722017379
Julho,4,Domingo,Sim,21.32581342038407,48.00371891481501,1045.5960406677357,4,Desligado,Ligado,12.921074445910678,66.06598713089576
Julho,7,Sexta-feira,Não,25.911434697110018,36.07586648379666,1452.1433133219116,8,Ligado,Desligado,12.955215743303093,59.631889461857526
Julho,23,Sexta-feira,Não,25.90560257531363,58.3434739996146,1960.3783644127184,3,Ligado,Ligado,0.006642,86.07634384480832
Julho,20,Segunda-feira,Sim,22.455573434378707,32.42323154790499,1185.123905036857,1,Desligado,Ligado,18.35476410273793,65.42924445608011
Julho,18,Quarta-feira,Sim,23.155194510991524,30.015975,1199.2848931918911,8,Ligado,Ligado,0.006642,91.11407400968262
Julho,14,Segunda-feira,Sim,21.6412557712238,49.85481645771731,1878.3196724346365,2,Desligado,Ligado,29.965327,70.41928415266649
Julho,1,Sábado,Sim,28.925666263696098,49.6218233760087,1878.2141615286555,3,Desligado,Desligado,18.55873102389825,82.55941558810667
Julho,12,Domingo,Sim,20.85421167211764,59.969085,1789.9951562233762,1,Ligado,Desligado,14.960534220284371,73.18013957149952
Julho,19,Sábado,Não,23.81755138993749,52.56341798597114,1701.2992355859378,1,Ligado,Ligado,29.965327,70.61466399602054
Julho,10,Segunda-feira,Sim,28.847665694754976,40.64755463099014,1373.0852357772687,7,Desligado,Desligado,16.043556053743515,84.66003563665586
Julho,3,Sexta-feira,Não,20.007565,30.015975,1000.978858458784,9,Desligado,Desligado,22.824644070596484,79.33641705171391
Julho,1,Quinta-feira,Não,27.951616935183647,55.81010949146885,1999.982252,9,Desligado,Ligado,29.965327,76.69511497689793
Julho,10,Sexta-feira,Não,24.54540470276533,48.09789897098847,1506.7215680080078,5,Desligado,Ligado,23.018962138117256,85.23139055360414
Julho,21,Quinta-feira,Não,28.349326148786275,35.10502691358654,1928.457590619752,2,Desligado,Ligado,12.601428234043963,84.06356894105645
Julho,14,Domingo,Sim,20.007565,48.83532613081882,1634.1404927551775,8,Ligado,Desligado,27.88922796517832,75.73903044683718
Julho,3,Quarta-feira,Sim,24.072799609385434,32.77041464187677,1490.1414832819194,2,Ligado,Desligado,4.966987161442495,61.3796379889147
Julho,15,Domingo,Sim,20.213308418346102,57.05622638665479,1597.003377714165,0,Desligado,Desligado,25.32749417479788,72.66448870206393
Julho,1,Domingo,Não,27.99061611823917,31.563184818641275,1634.6435834766742,9,Desligado,Desligado,29.41804467059209,81.5881854653513
Julho,22,Quarta-feira,Sim,29.998671,59.969085,1922.3305092775804,5,Desligado,Ligado,5.765064034892745,81.77184415218684
Julho,14,Quinta-feira,Sim,21.42772985832097,49.53250919010097,1893.3454216702244,8,Ligado,Desligado,13.156760058890187,72.15216696736452
Julho,4,Sexta-feira,Não,27.261085611361352,32.15962951309583,1193.7445949864757,2,Desligado,Desligado,22.65002243317877,82.88918297669845
Julho,7,Domingo,Não,23.97886380789732,52.22025648005127,1391.6013245249108,3,Ligado,Desligado,16.126202125780534,70.70857650828711
Julho,16,Quarta-feira,Não,21.92101861819639,30.015975,1739.5387957287548,9,Desligado,Desligado,15.441819878574714,69.21937831305353
