Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Junho,10,Domingo,Não,26.03090303829404,55.86645016000703,1815.5347970468245,1,Ligado,Desligado,19.493295837188352,82.83315926739306
Junho,9,Domingo,Não,27.97298440437301,59.545629299403664,1421.6976911882148,9,Ligado,Desligado,11.7756371139381,86.77779539608224
Junho,4,Quinta-feira,Sim,21.076503676416973,54.76137259241328,1582.9249472272838,6,Ligado,Ligado,29.197300725501027,74.61087204409856
Junho,13,Segunda-feira,Não,22.298145154401592,36.18344122865079,1739.6164880872702,3,Ligado,Ligado,17.528729734872183,80.36254693155486
Junho,7,Domingo,Não,21.194745369671622,45.74674110634109,1963.4752020022,2,Ligado,Desligado,29.965327,70.83363106895982
Junho,10,Terça-feira,Não,20.007565,57.38098299877649,1168.822964541744,2,Desligado,Desligado,3.5497769500369936,69.15753491027202
Junho,17,Terça-feira,Não,20.007565,55.73146706245669,1238.3601965014557,9,Desligado,Desligado,29.965327,79.28650779938857
Junho,22,Segunda-feira,Não,24.64972251837907,33.737769562501185,1653.71246304609,8,Ligado,Desligado,29.965327,67.08140836900057
Junho,19,Quarta-feira,Sim,27.41471505955869,43.04436514417715,1192.060516883404,9,Ligado,Desligado,10.571940867628866,74.22865676455966
Junho,8,Domingo,Sim,23.41516478134008,59.969085,1346.8746268994855,9,Desligado,Ligado,20.745708526292013,62.14679392588163
Junho,1,Domingo,Sim,26.48925982530169,37.32051818474219,1501.0393391961618,7,Desligado,Ligado,8.835500350106278,84.06088465356756
Junho,22,Sábado,Sim,20.007565,36.864532790623805,1398.9184284365645,9,Desligado,Ligado,0.006642,54.18421161593635
Junho,9,Quinta-feira,Sim,20.007565,49.90345996398213,1169.2355731181476,5,Ligado,Ligado,13.245319156389098,69.71359924562756
Junho,7,Domingo,Não,20.35281804243056,47.00505395645283,1114.0064571644375,6,Ligado,Ligado,16.50866281477155,75.39673214168145
Junho,6,Quinta-feira,Não,20.007565,48.163058450863645,1891.2948944507373,6,Desligado,Desligado,17.512093772121013,77.46900690594262
Junho,4,Sexta-feira,Não,26.451672835899853,32.556755767326386,1117.9582211606169,9,Desligado,Ligado,13.829848561408983,67.20027433024919
Junho,9,Sábado,Sim,29.998671,51.90429175979207,1813.531015028328,6,Desligado,Ligado,6.251636040279408,76.03424320672576
Junho,22,Terça-feira,Não,21.57051855461956,38.56504125223754,1237.0160504228018,5,Desligado,Desligado,20.22490704762492,67.03693241420996
Junho,1,Quinta-feira,Não,29.998671,45.309284981640246,1840.8653570551144,3,Ligado,Ligado,16.668949077286637,86.58754024170644
Junho,15,Quinta-feira,Não,21.753975439850272,43.09009698282945,1787.448342650056,4,Ligado,Ligado,21.964246728458093,84.05610945966181
Junho,16,Domingo,Não,20.995161022892724,50.04050451988726,1911.9414656091565,5,Desligado,Desligado,1.736714179804565,55.976923136954326
Junho,2,Segunda-feira,Sim,21.34876787531929,35.13293392295155,1960.703249973203,3,Desligado,Desligado,3.013339133365439,74.83498215492543
Junho,18,Sábado,Não,26.712811599276503,49.93683029322294,1999.982252,9,Desligado,Ligado,4.902125276525589,84.32559823304925
Junho,4,Sexta-feira,Sim,26.26788561789745,34.860573190576304,1037.1385068439906,9,Ligado,Ligado,27.6850492711674,87.729814716805
Junho,13,Sexta-feira,Sim,29.998671,42.11089279184769,1836.1101863483173,1,Desligado,Ligado,3.7560553006357535,83.90883868697071
Junho,20,Sexta-feira,Sim,28.95028792961353,31.202876985017305,1923.8486363908069,6,Ligado,Ligado,1.370159855611604,75.14214058076215
Junho,11,Quinta-feira,Sim,20.445141351770864,55.24118975295313,1521.8901361313535,0,Desligado,Ligado,3.0072926129775426,65.26322818033397
Junho,21,Quinta-feira,Não,26.49620886527925,37.34280927661178,1407.0019451660178,3,Ligado,Desligado,16.920728945861388,61.818371786498375
Junho,5,Terça-feira,Não,24.42091267242144,47.88949969580852,1111.4873151234144,6,Ligado,Desligado,11.91295864150188,76.12150311261382
Junho,6,Sexta-feira,Não,25.85330677108876,59.39276216842971,1000.512661,7,Ligado,Ligado,4.8979371095812745,65.20510376609658
Junho,23,Terça-feira,Não,21.091465364154708,59.969085,1501.0351749896593,7,Desligado,Ligado,29.965327,68.64982380546576
Junho,21,Domingo,Não,27.637079681731425,59.969085,1999.982252,0,Ligado,Desligado,4.763714239404011,81.42878992127125
Junho,1,Quinta-feira,Sim,22.319759355550737,50.79562238242943,1436.80399001909,8,Desligado,Desligado,17.27685063215723,69.38855913819584
Junho,15,Quinta-feira,Não,25.931990150170066,52.43846740534878,1916.4526754666647,9,Ligado,Ligado,7.859313579446356,81.30340677649193
Junho,0,Quarta-feira,Sim,20.007565,48.255353636863966,1680.2703037202332,2,Ligado,Desligado,20.99562590473259,60.75885890848326
Junho,9,Quinta-feira,Não,20.244401890047996,49.08585653141216,1054.028281028826,0,Ligado,Ligado,21.17181599860761,79.12987932301385
Junho,15,Sábado,Sim,24.449665863222325,40.18429906502976,1935.658870910872,5,Ligado,Ligado,18.558453878725395,82.71158421585233
Junho,18,Sexta-feira,Não,26.72966886452347,59.74486140434187,1978.0118150025733,2,Desligado,Ligado,4.908064886317523,80.6818027847249
Junho,10,Quinta-feira,Sim,20.007565,48.19430755128952,1250.5018110852982,8,Ligado,Ligado,19.495900178754106,63.806510472020754
Junho,17,Sábado,Sim,21.73879101434529,53.195139068059774,1352.22666832276,8,Desligado,Desligado,27.072676789680926,75.10058408480745
Junho,15,Quarta-feira,Sim,27.675472164057844,45.65432916007956,1108.5052055849242,3,Desligado,Desligado,0.4348472166671486,87.43393387115022
Junho,4,Quarta-feira,Não,26.293580285670465,54.17856070033504,1172.5859016446511,6,Ligado,Desligado,23.55384683875557,76.65358388654926
Junho,15,Quinta-feira,Não,27.531728866394463,38.53728335491769,1379.197554483394,3,Ligado,Desligado,25.46289730645855,95.75961386362856
Junho,9,Domingo,Não,24.358723568359338,59.969085,1679.4031258105133,6,Ligado,Ligado,25.03961919530453,68.3394508006341
Junho,12,Terça-feira,Sim,26.31461025814824,41.8512299297467,1066.085982092177,2,Desligado,Ligado,10.916658251778186,72.18092210861654
Junho,10,Quinta-feira,Sim,20.007565,35.622363077903344,1209.924083206917,5,Desligado,Desligado,20.125813937710287,69.51382162503545
Junho,7,Sexta-feira,Não,20.11566664384079,54.36716970667816,1590.2068514046648,0,Desligado,Ligado,27.90011506749963,82.8718863345011
Junho,10,Domingo,Sim,23.247291756918976,32.364349730021445,1494.8438303128544,9,Desligado,Desligado,0.006642,78.39785393793882
Junho,20,Segunda-feira,Sim,22.597508037928865,49.27744661456331,1106.4204253889457,6,Desligado,Desligado,12.831572718167044,80.60047912164755
Junho,18,Quarta-feira,Sim,25.34381721360116,58.89780135819783,1594.0092203990168,5,Ligado,Ligado,21.062329486402582,74.66897340397536
