Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Setembro,2,Sábado,Não,29.998671,46.54703551585329,1700.591307232124,7,Ligado,Ligado,29.655022241272853,93.16887688788825
Setembro,16,Sábado,Sim,22.4277046501422,45.94952616101592,1533.8031720737995,6,Desligado,Ligado,26.90104334509614,62.75490692211935
Setembro,3,Segunda-feira,Não,28.42745879345181,58.918960163158886,1143.8948640973058,4,Ligado,Ligado,13.345201891998302,75.38808715549737
Setembro,19,Quarta-feira,Não,26.38533721751073,39.10221552096119,1397.8227565669035,7,Desligado,Ligado,4.58816287042239,82.92113990172516
Setembro,5,Segunda-feira,Sim,22.19176415885688,59.969085,1667.9456775651793,6,Desligado,Desligado,17.21132227337516,77.21405644920134
Setembro,20,Quarta-feira,Não,29.998671,34.238745789135365,1738.8291456760355,5,Ligado,Ligado,20.52162336836001,88.2022937520508
Setembro,8,Domingo,Não,20.775435278386794,30.015975,1706.3693167523215,6,Desligado,Desligado,5.582946638784602,87.24342573424599
Setembro,8,Quarta-feira,Sim,20.04206133938166,47.21962623388202,1674.1990269660787,9,Ligado,Desligado,23.92611617075523,64.09988044612214
Setembro,13,Quinta-feira,Não,26.287447347377668,51.911722641115965,1714.0674207199215,9,Ligado,Desligado,0.006642,91.2553309932207
Setembro,18,Sábado,Sim,24.103773656186924,37.93365462775955,1382.8487875437645,8,Desligado,Desligado,21.500969933000672,89.84156622826538
Setembro,12,Domingo,Sim,22.944006154629893,52.19024307529,1449.437265960535,1,Ligado,Ligado,0.006642,62.90153663484483
Setembro,4,Domingo,Não,25.65479096348665,35.92779785547718,1856.096631842541,0,Desligado,Ligado,22.39841360638268,83.26728407577055
Setembro,5,Segunda-feira,Não,25.399847867575343,45.24120528222861,1606.5959116434972,9,Ligado,Desligado,5.71260028536042,79.50763537974666
Setembro,14,Quinta-feira,Não,26.332513598957316,57.51173789085912,1772.7761173093943,9,Ligado,Ligado,11.350571529576136,78.25404829759732
Setembro,9,Terça-feira,Não,29.998671,39.68275669042095,1580.4419788626335,6,Ligado,Ligado,5.777625848681787,97.1746790240824
Setembro,16,Sexta-feira,Não,29.79607710561273,38.95226364500566,1812.6372307185347,9,Desligado,Desligado,18.444009584246345,85.76285313654299
Setembro,22,Sexta-feira,Sim,20.007565,45.62799289008769,1880.919944566238,6,Desligado,Ligado,24.381364509146408,60.16816169825824
Setembro,14,Segunda-feira,Sim,21.16197737842097,47.9898617414592,1232.5732195928283,9,Desligado,Desligado,15.00043886774426,77.33331645770906
