Mês,Hora,Dia da Semana,Feriado,Temperatura,Umidade,Metros Quadrados,Ocupação,Uso Aquec. Vent. A.Cond.,Uso Sistema Iluminação,Perc. Energia Renovável,Consumo Energia
Maio,22,Domingo,Sim,25.816933927336244,59.969085,1092.216565356493,4,Desligado,Ligado,15.710758476672204,67.1395187037149
Maio,22,Segunda-feira,Sim,21.81282441516804,37.50072233484759,1359.7826330270436,7,Desligado,Desligado,23.214059941873785,67.7851340650272
Maio,7,Sexta-feira,Não,29.000338438175024,57.81451415830072,1122.7721549618932,1,Ligado,Desligado,17.177739036949387,72.06712373848205
Maio,3,Quarta-feira,Sim,23.277299949917115,56.50741034246212,1107.7176719508857,0,Desligado,Ligado,2.9266370733458302,69.23770031271924
Maio,22,Quinta-feira,Não,29.01301543087444,47.42793185319066,1999.982252,9,Ligado,Ligado,3.704060516869292,75.0283976909627
Maio,14,Segunda-feira,Sim,23.48779177027005,56.39018296897849,1193.067787051263,5,Desligado,Ligado,9.611341695087546,76.45817721055215
Maio,21,Quinta-feira,Sim,26.95001909412405,59.969085,1053.9037518527664,8,Desligado,Ligado,29.965327,77.80123439062186
Maio,14,Quinta-feira,Sim,22.556344191818702,36.80529789338946,1817.7062989898989,9,Ligado,Desligado,16.085042338936738,77.9331944070946
Maio,11,Domingo,Não,25.47948287850806,34.04873974748892,1578.9702050694707,5,Desligado,Desligado,17.596881518198693,80.44139242325949
Maio,11,Terça-feira,Não,20.007565,51.36689422888172,1874.5850049402657,2,Ligado,Desligado,21.449657844111925,54.49053569881852
Maio,2,Segunda-feira,Não,23.354169736479367,30.015975,1912.835998530461,3,Desligado,Desligado,0.006642,72.89808314214592
Maio,11,Quarta-feira,Sim,21.528273919192312,54.55024601803535,1883.5135840092944,5,Ligado,Desligado,0.006642,62.98619386261821
Maio,18,Sábado,Não,21.801265138051168,33.51133467646089,1531.2355227621686,3,Desligado,Ligado,8.520973140445452,74.63438700138946
Maio,8,Quinta-feira,Não,29.998671,59.41554884640692,1972.523780150215,0,Desligado,Desligado,18.39098996785781,85.56073141174139
Maio,1,Sábado,Não,28.268533680481497,53.265147573299565,1076.9752910263724,5,Desligado,Ligado,6.386847398451714,66.80163802914572
Maio,17,Domingo,Não,21.61753385725454,59.37413901710947,1603.0282933221592,0,Ligado,Desligado,19.823906323288,72.11759649742491
Maio,9,Terça-feira,Sim,22.31138891582622,49.56208514710838,1470.620744196383,6,Ligado,Ligado,22.53622671094783,79.35080581709423
